ORGAN_CODE,INSTI_NM,YYMM,VAL
4830000,자치단체,2018,"743,201,980,509"
4840000,자치단체,2018,"749,633,083,703"
4850000,자치단체,2018,"389,949,620,321"
4860000,자치단체,2018,"341,996,223,967"
4870000,자치단체,2018,"301,882,658,617"
4880000,자치단체,2018,"651,725,061,497"
4890000,자치단체,2018,"451,524,466,632"
4900000,자치단체,2018,"513,019,331,957"
4910000,자치단체,2018,"395,650,639,461"
4920000,자치단체,2018,"402,081,023,025"
4930000,자치단체,2018,"657,480,903,387"
4940000,자치단체,2018,"532,241,423,609"
4950000,자치단체,2018,"454,844,199,023"
4960000,자치단체,2018,"380,141,937,336"
4970000,자치단체,2018,"543,520,341,347"
4980000,자치단체,2018,"400,637,503,340"
4990000,자치단체,2018,"441,944,892,587"
5000000,자치단체,2018,"342,357,028,828"
5010000,자치단체,2018,"513,883,769,504"
6470000,자치단체,2018,"9,282,902,385,478"
5020000,자치단체,2018,"1,773,005,883,903"
5050000,자치단체,2018,"1,217,047,218,375"
5060000,자치단체,2018,"841,955,024,181"
5070000,자치단체,2018,"1,044,876,189,902"
5080000,자치단체,2018,"1,160,778,061,213"
5090000,자치단체,2018,"641,288,164,570"
5100000,자치단체,2018,"676,768,914,480"
5110000,자치단체,2018,"793,900,601,610"
5120000,자치단체,2018,"599,318,863,008"
5130000,자치단체,2018,"922,635,407,027"
5140000,자치단체,2018,"314,898,635,418"
5150000,자치단체,2018,"551,037,353,244"
5160000,자치단체,2018,"322,864,702,131"
5170000,자치단체,2018,"251,639,360,100"
5180000,자치단체,2018,"380,075,585,164"
5190000,자치단체,2018,"346,508,631,119"
5200000,자치단체,2018,"305,775,069,139"
5210000,자치단체,2018,"387,317,115,097"
5220000,자치단체,2018,"465,823,826,661"
5230000,자치단체,2018,"461,906,143,942"
5240000,자치단체,2018,"411,767,271,673"
5250000,자치단체,2018,"585,788,323,829"
5260000,자치단체,2018,"144,839,126,313"
6480000,자치단체,2018,"8,238,922,257,151"
5670000,자치단체,2018,"2,970,175,609,316"
5310000,자치단체,2018,"1,199,285,682,556"
5330000,자치단체,2018,"553,796,125,149"
5340000,자치단체,2018,"614,727,778,443"
5350000,자치단체,2018,"1,335,530,998,828"
5360000,자치단체,2018,"714,001,240,721"
5370000,자치단체,2018,"711,061,698,746"
5380000,자치단체,2018,"1,041,174,264,131"
5390000,자치단체,2018,"373,932,933,761"
5400000,자치단체,2018,"393,909,051,759"
5410000,자치단체,2018,"465,671,373,295"
5420000,자치단체,2018,"424,969,865,673"
5430000,자치단체,2018,"371,837,661,009"
5440000,자치단체,2018,"515,133,094,680"
5450000,자치단체,2018,"381,302,516,030"
5460000,자치단체,2018,"418,086,856,465"
5470000,자치단체,2018,"445,652,322,670"
5480000,자치단체,2018,"514,110,760,002"
6500000,자치단체,2018,"5,306,930,244,670"
6110000,자치단체,2019,"34,740,890,838,170"
3000000,자치단체,2019,"593,917,405,854"
3010000,자치단체,2019,"487,783,935,718"
3020000,자치단체,2019,"507,628,212,483"
3030000,자치단체,2019,"574,984,241,419"
3040000,자치단체,2019,"648,937,616,157"
3050000,자치단체,2019,"649,369,214,274"
3060000,자치단체,2019,"757,402,574,865"
3070000,자치단체,2019,"751,433,685,651"
3080000,자치단체,2019,"717,553,724,869"
3090000,자치단체,2019,"633,073,637,751"
3100000,자치단체,2019,"956,186,225,009"
3110000,자치단체,2019,"806,408,930,869"
3120000,자치단체,2019,"622,296,229,033"
3130000,자치단체,2019,"649,808,650,832"
3140000,자치단체,2019,"782,019,954,164"
3150000,자치단체,2019,"1,002,315,463,459"
3160000,자치단체,2019,"705,761,858,166"
3170000,자치단체,2019,"520,538,761,198"
3180000,자치단체,2019,"642,289,499,839"
3190000,자치단체,2019,"671,556,660,236"
3200000,자치단체,2019,"749,687,721,364"
3210000,자치단체,2019,"862,993,312,398"
3220000,자치단체,2019,"1,196,362,310,849"
3230000,자치단체,2019,"868,495,235,998"
3240000,자치단체,2019,"800,949,067,376"
6260000,자치단체,2019,"11,620,387,400,470"
3250000,자치단체,2019,"168,289,770,823"
3260000,자치단체,2019,"300,070,059,177"
3270000,자치단체,2019,"273,961,199,015"
3280000,자치단체,2019,"320,553,259,032"
3290000,자치단체,2019,"600,364,091,080"
3300000,자치단체,2019,"452,983,286,770"
3310000,자치단체,2019,"450,608,920,039"
3320000,자치단체,2019,"536,633,547,460"
3330000,자치단체,2019,"658,955,482,490"
3340000,자치단체,2019,"576,155,595,880"
3350000,자치단체,2019,"426,937,258,949"
3360000,자치단체,2019,"358,278,327,885"
3370000,자치단체,2019,"370,531,366,230"
3380000,자치단체,2019,"350,780,042,700"
3390000,자치단체,2019,"429,814,813,940"
3400000,자치단체,2019,"540,787,188,405"
6270000,자치단체,2019,"8,040,947,837,414"
3410000,자치단체,2019,"280,801,337,736"
3420000,자치단체,2019,"636,045,306,632"
3430000,자치단체,2019,"416,602,411,643"
3440000,자치단체,2019,"349,755,589,602"
3450000,자치단체,2019,"655,122,839,191"
3460000,자치단체,2019,"665,266,467,642"
3470000,자치단체,2019,"783,821,419,475"
3480000,자치단체,2019,"853,460,772,073"
6280000,자치단체,2019,"10,182,087,386,072"
3490000,자치단체,2019,"397,946,301,978"
3500000,자치단체,2019,"317,495,445,855"
3510500,자치단체,2019,"683,467,071,186"
3520000,자치단체,2019,"570,598,316,599"
3530000,자치단체,2019,"840,635,287,336"
3540000,자치단체,2019,"831,964,382,093"
3550000,자치단체,2019,"523,404,071,052"
3560000,자치단체,2019,"905,554,449,605"
3570000,자치단체,2019,"565,029,080,225"
3580000,자치단체,2019,"313,961,753,589"
6290000,자치단체,2019,"5,499,470,769,683"
3590000,자치단체,2019,"380,147,487,294"
3600000,자치단체,2019,"527,372,614,419"
3610000,자치단체,2019,"439,554,751,500"
3620000,자치단체,2019,"753,474,628,475"
