ORGAN_CODE,YY,VAL
4020000,2020,"273,791"
4030000,2020,"163,795"
4040000,2020,"293,452"
4050000,2020,"1,074,176"
5620000,2020,"257,498"
5630000,2020,"440,835"
5640000,2020,"375,843"
4060000,2020,"465,617"
4070000,2020,"218,388"
4080000,2020,"187,012"
4090000,2020,"473,970"
5530000,2020,"855,248"
5540000,2020,"382,054"
5590000,2020,"230,359"
5600000,2020,"147,274"
5700000,2020,"111,897"
4140000,2020,"43,516"
4160000,2020,"62,377"
4170000,2020,"118,810"
6420000,2020,"1,542,840"
4180000,2020,"282,765"
4190000,2020,"354,376"
4200000,2020,"213,321"
4210000,2020,"90,593"
4220000,2020,"42,719"
4230000,2020,"82,665"
4240000,2020,"65,243"
4250000,2020,"69,242"
4260000,2020,"46,472"
4270000,2020,"38,662"
4280000,2020,"41,681"
4290000,2020,"36,870"
4300000,2020,"44,699"
4310000,2020,"24,857"
4320000,2020,"22,278"
4330000,2020,"31,694"
4340000,2020,"26,757"
4350000,2020,"27,946"
6430000,2020,"1,600,837"
5710000,2020,"844,993"
5720000,2020,"190,034"
5725000,2020,"194,720"
5730000,2020,"265,866"
5735000,2020,"194,373"
4390000,2020,"210,186"
4400000,2020,"133,018"
4420000,2020,"32,412"
4430000,2020,"50,527"
4440000,2020,"47,475"
5570000,2020,"36,807"
4450000,2020,"83,718"
4460000,2020,"39,393"
4470000,2020,"93,153"
4480000,2020,"29,155"
6440000,2020,"2,121,029"
4490000,2020,"658,808"
5650000,2020,"258,009"
5660000,2020,"400,799"
4500000,2020,"104,545"
4510000,2020,"100,229"
4520000,2020,"316,129"
4530000,2020,"175,591"
4540000,2020,"116,675"
5580000,2020,"42,822"
5680000,2020,"166,249"
4550000,2020,"51,413"
4570000,2020,"65,354"
4580000,2020,"51,866"
4590000,2020,"30,948"
4600000,2020,"100,102"
4610000,2020,"78,084"
4620000,2020,"62,214"
6450000,2020,"1,804,104"
4640000,2020,"657,432"
4650000,2020,"339,718"
4660000,2020,"317,714"
4670000,2020,"267,859"
4680000,2020,"282,276"
4690000,2020,"108,508"
4700000,2020,"80,662"
4710000,2020,"82,450"
4720000,2020,"91,609"
4730000,2020,"25,394"
4740000,2020,"24,036"
4750000,2020,"22,085"
4760000,2020,"27,314"
4770000,2020,"27,810"
4780000,2020,"54,529"
4790000,2020,"52,140"
6460000,2020,"1,851,549"
4800000,2020,"224,044"
4810000,2020,"280,242"
4820000,2020,"282,189"
4830000,2020,"115,613"
4840000,2020,"151,769"
4850000,2020,"46,280"
4860000,2020,"28,039"
4870000,2020,"25,719"
