ORGAN_CODE,FIELD_NM,YY,VAL
3630000,연립주택,2017,2629
3630000,다세대주택,2017,709
3630000,비거주용건물내주택,2017,914
6300000,주택,2017,479161
6300000,단독주택-계,2017,81107
6300000,단독주택-일반,2017,34460
6300000,단독주택-다가구,2017,28270
6300000,단독주택-영업겸용,2017,18377
6300000,아파트,2017,348033
6300000,연립주택,2017,10208
6300000,다세대주택,2017,34590
6300000,비거주용건물내주택,2017,5223
3640000,주택,2017,76777
3640000,단독주택-계,2017,19765
3640000,단독주택-일반,2017,10606
3640000,단독주택-다가구,2017,6108
3640000,단독주택-영업겸용,2017,3051
3640000,아파트,2017,46533
3640000,연립주택,2017,2227
3640000,다세대주택,2017,7107
3640000,비거주용건물내주택,2017,1145
3650000,주택,2017,81427
3650000,단독주택-계,2017,18855
3650000,단독주택-일반,2017,8997
3650000,단독주택-다가구,2017,6662
3650000,단독주택-영업겸용,2017,3196
3650000,아파트,2017,50567
3650000,연립주택,2017,2306
3650000,다세대주택,2017,8212
3650000,비거주용건물내주택,2017,1487
3660000,주택,2017,147097
3660000,단독주택-계,2017,20597
3660000,단독주택-일반,2017,7258
3660000,단독주택-다가구,2017,7966
3660000,단독주택-영업겸용,2017,5373
3660000,아파트,2017,116047
3660000,연립주택,2017,2562
3660000,다세대주택,2017,6927
3660000,비거주용건물내주택,2017,964
3670000,주택,2017,113276
3670000,단독주택-계,2017,10888
3670000,단독주택-일반,2017,4033
3670000,단독주택-다가구,2017,2715
3670000,단독주택-영업겸용,2017,4140
3670000,아파트,2017,96318
3670000,연립주택,2017,1566
3670000,다세대주택,2017,3663
3670000,비거주용건물내주택,2017,841
3680000,주택,2017,60584
3680000,단독주택-계,2017,11002
3680000,단독주택-일반,2017,3566
3680000,단독주택-다가구,2017,4819
3680000,단독주택-영업겸용,2017,2617
3680000,아파트,2017,38568
3680000,연립주택,2017,1547
3680000,다세대주택,2017,8681
3680000,비거주용건물내주택,2017,786
6310000,주택,2017,371300
6310000,단독주택-계,2017,67247
6310000,단독주택-일반,2017,27375
6310000,단독주택-다가구,2017,28892
6310000,단독주택-영업겸용,2017,10980
6310000,아파트,2017,264440
6310000,연립주택,2017,8030
6310000,다세대주택,2017,25102
6310000,비거주용건물내주택,2017,6481
3690000,주택,2017,71312
3690000,단독주택-계,2017,15663
3690000,단독주택-일반,2017,3223
3690000,단독주택-다가구,2017,9655
3690000,단독주택-영업겸용,2017,2785
3690000,아파트,2017,45368
3690000,연립주택,2017,1929
3690000,다세대주택,2017,6980
3690000,비거주용건물내주택,2017,1372
3700000,주택,2017,106009
3700000,단독주택-계,2017,14303
3700000,단독주택-일반,2017,2617
3700000,단독주택-다가구,2017,8294
3700000,단독주택-영업겸용,2017,3392
3700000,아파트,2017,78881
3700000,연립주택,2017,2229
3700000,다세대주택,2017,8326
3700000,비거주용건물내주택,2017,2270
3710000,주택,2017,53365
3710000,단독주택-계,2017,7996
3710000,단독주택-일반,2017,1454
3710000,단독주택-다가구,2017,4830
3710000,단독주택-영업겸용,2017,1712
3710000,아파트,2017,39069
3710000,연립주택,2017,1410
3710000,다세대주택,2017,4051
3710000,비거주용건물내주택,2017,839
3720000,주택,2017,64060
3720000,단독주택-계,2017,7758
3720000,단독주택-일반,2017,3640
3720000,단독주택-다가구,2017,3074
3720000,단독주택-영업겸용,2017,1044
3720000,아파트,2017,53527
3720000,연립주택,2017,458
3720000,다세대주택,2017,1715
3720000,비거주용건물내주택,2017,602
3730000,주택,2017,76554
3730000,단독주택-계,2017,21527
3730000,단독주택-일반,2017,16441
3730000,단독주택-다가구,2017,3039
3730000,단독주택-영업겸용,2017,2047
3730000,아파트,2017,47595
3730000,연립주택,2017,2004
3730000,다세대주택,2017,4030
3730000,비거주용건물내주택,2017,1398
5690000,주택,2017,104448
5690000,단독주택-계,2017,15990
5690000,단독주택-일반,2017,13671
5690000,단독주택-다가구,2017,1297
5690000,단독주택-영업겸용,2017,1022
5690000,아파트,2017,85256
5690000,연립주택,2017,1006
5690000,다세대주택,2017,1506
5690000,비거주용건물내주택,2017,690
6410000,주택,2017,3949829
6410000,단독주택-계,2017,504182
6410000,단독주택-일반,2017,285992
6410000,단독주택-다가구,2017,142047
6410000,단독주택-영업겸용,2017,76143
6410000,아파트,2017,2676037
6410000,연립주택,2017,124272
6410000,다세대주택,2017,611471
6410000,비거주용건물내주택,2017,33867
